Date,Open,High,Low,Close,Volume,Currency
9/26/2014,1222.1,1232.7,1212.8,1215.4,149452,USD
9/29/2014,1219.1,1223.9,1215.3,1218.8,105757,USD
9/30/2014,1215.7,1220.7,1204.3,1211.6,182523,USD
10/1/2014,1209.4,1220,1205,1215.5,146536,USD
10/2/2014,1213.4,1224,1209.1,1215.1,148824,USD
10/3/2014,1213.9,1215.7,1190.3,1192.9,186087,USD
10/6/2014,1192,1209.9,1183.3,1207.3,147758,USD
10/7/2014,1207.8,1214.1,1203,1212.4,142509,USD
10/8/2014,1209.8,1224.5,1205.1,1206,192007,USD
10/9/2014,1221.1,1234,1219.3,1225.3,165358,USD
10/10/2014,1224,1225.7,1217.6,1221.7,121360,USD
10/13/2014,1224.8,1238,1223.6,1230,119916,USD
10/14/2014,1237.3,1238.6,1231.1,1234.3,113551,USD
10/15/2014,1233.3,1250.3,1222,1244.8,258099,USD
10/16/2014,1242.2,1245.6,1235.2,1241.2,180590,USD
10/17/2014,1239.5,1242.1,1232,1239,117545,USD
10/20/2014,1239.1,1249.3,1234.9,1244.7,96271,USD
10/21/2014,1246.8,1255.6,1245.7,1251.7,151078,USD
10/22/2014,1248.9,1250.2,1240.7,1245.5,113405,USD
10/23/2014,1241.7,1244.9,1226.3,1229.1,140066,USD
10/24/2014,1233.5,1234.7,1228.7,1231.8,93371,USD
10/27/2014,1230.6,1232.1,1225.2,1229.3,86313,USD
10/28/2014,1225.8,1235.5,1222.2,1229.4,124196,USD
10/29/2014,1227.8,1230.4,1208.2,1224.9,131448,USD
10/30/2014,1211.2,1216.5,1195.5,1198.6,210415,USD
10/31/2014,1199.5,1202.4,1160.5,1171.6,300192,USD
11/3/2014,1171.1,1173.4,1161,1169.8,129435,USD
11/4/2014,1164.6,1175,1163.4,1167.7,134878,USD
11/5/2014,1168.4,1169.3,1137.1,1145.7,261115,USD
11/6/2014,1140.8,1149,1137.2,1142.6,168560,USD
11/7/2014,1141.2,1179,1130.4,1169.8,298006,USD
11/10/2014,1176.8,1177.5,1146.7,1159.8,198954,USD
11/11/2014,1151.5,1172.5,1145.5,1163,187308,USD
11/12/2014,1163,1169.4,1156.5,1159.1,183582,USD
11/13/2014,1161.1,1167.4,1153,1161.5,187699,USD
11/14/2014,1161.8,1192.9,1146,1185.6,293650,USD
11/17/2014,1185.5,1193.6,1180.8,1183.5,199521,USD
11/18/2014,1185.6,1204.1,1182.7,1197.1,170800,USD
11/19/2014,1196.5,1201.7,1173.9,1193.9,265864,USD
11/20/2014,1183.1,1196.6,1176.2,1190.9,187475,USD
11/21/2014,1194,1207.6,1186.1,1197.7,199906,USD
11/24/2014,1199.9,1203.8,1192.2,1195.7,158694,USD
11/25/2014,1197.7,1202.2,1189,1197.1,210753,USD
11/26/2014,1200.5,1201,1193.7,1196.6,75297,USD
11/27/2014,1197.8,1199.3,1163.9,1175.5,254472,USD
12/1/2014,1159.4,1221,1141.7,1218.1,342307,USD
12/2/2014,1212.6,1212.6,1191.4,1199.4,169349,USD
12/3/2014,1197.6,1215,1193.5,1208.7,145106,USD
12/4/2014,1209.3,1213.5,1201.1,1207.7,117722,USD
12/5/2014,1205.9,1208.5,1186.4,1190.4,157202,USD
12/8/2014,1191.2,1209.3,1187.3,1194.9,107505,USD
12/9/2014,1203.8,1239,1199.5,1232,241262,USD
12/10/2014,1231.2,1238.9,1225.2,1229.4,143319,USD
12/11/2014,1226.2,1233.4,1216.4,1225.6,143670,USD
12/12/2014,1227.9,1228.9,1214.8,1222.5,121177,USD
12/15/2014,1222,1225,1191.3,1207.7,152383,USD
12/16/2014,1195.4,1223.9,1187.8,1194.3,231509,USD
12/17/2014,1195.3,1203.1,1182,1194.5,169510,USD
12/18/2014,1189.4,1213.9,1188.5,1194.8,137338,USD
12/19/2014,1198,1201.5,1193.2,1196,73333,USD
12/22/2014,1196,1203.6,1170.7,1179.8,132152,USD
12/23/2014,1176.1,1184.9,1172.4,1178,105530,USD
12/24/2014,1176.8,1181.2,1172.7,1173.5,43632,USD
12/26/2014,1175.2,1199.1,1175.2,1195.3,67183,USD
12/29/2014,1194.9,1197.5,1178.6,1181.9,85907,USD
12/30/2014,1182.9,1210.9,1180.5,1200.4,141724,USD
12/31/2014,1199.8,1203.9,1179.5,1184.1,70517,USD
1/2/2015,1184,1194.9,1167.3,1186.2,120678,USD
1/5/2015,1187.8,1207.5,1177.8,1204,149112,USD
1/6/2015,1204,1223.3,1201.6,1219.4,190357,USD
1/7/2015,1219,1219.4,1209.1,1210.7,117085,USD
1/8/2015,1211,1216.8,1204.2,1208.5,122494,USD
1/9/2015,1208.9,1224,1207,1216.1,155980,USD
1/12/2015,1223,1236,1217.5,1232.8,138523,USD
1/13/2015,1233.1,1244.5,1227.4,1234.4,179651,USD
1/14/2015,1231.2,1244.6,1224.9,1234.5,193111,USD
1/15/2015,1229.7,1267.2,1226.1,1264.8,288788,USD
1/16/2015,1263.5,1282.4,1255.2,1276.9,219412,USD
1/19/2015,1280.7,1297.2,1272.1,1294.2,249777,USD
1/21/2015,1295.3,1307,1284.6,1293.7,210391,USD
1/22/2015,1293.7,1307.8,1279.1,1300.7,214909,USD
1/23/2015,1301.5,1302.9,1284.3,1292.6,149213,USD
1/26/2015,1292.8,1299.2,1275.6,1279.4,168886,USD
1/27/2015,1280.7,1297.4,1272,1291.7,186952,USD
1/28/2015,1292,1293.3,1279,1285.9,180387,USD
1/29/2015,1284,1286.6,1252.1,1255.9,243648,USD
1/30/2015,1259,1285.4,1257.5,1279.2,163882,USD
2/2/2015,1283,1283.9,1266.5,1276.9,119882,USD
2/3/2015,1275.6,1286.5,1255.8,1260.3,181991,USD
2/4/2015,1261.5,1273.3,1256.9,1264.5,136182,USD
2/5/2015,1270.4,1274.6,1256.1,1262.7,113827,USD
2/6/2015,1266.4,1269,1228.2,1234.6,205095,USD
2/9/2015,1235.9,1243.6,1234.4,1241.5,92651,USD
2/10/2015,1238.3,1245.9,1230.6,1232.2,97143,USD
