Date,Open,High,Low,Close,Adj Close,Volume
26-Apr-12,"1,390.64","1,402.09","1,387.28",1399.98,"1,399.98","4,034,700,000"
25-Apr-12,"1,372.11","1,391.37","1,372.11",1390.69,"1,390.69","3,998,430,000"
24-Apr-12,"1,366.97","1,375.57","1,366.82",1371.97,"1,371.97","3,617,100,000"
23-Apr-12,"1,378.53","1,378.53","1,358.79",1366.94,"1,366.94","3,654,860,000"
20-Apr-12,"1,376.96","1,387.40","1,376.96",1378.53,"1,378.53","3,833,320,000"
19-Apr-12,"1,385.08","1,390.46","1,370.30",1376.92,"1,376.92","4,180,020,000"
18-Apr-12,"1,390.78","1,390.78","1,383.29",1385.14,"1,385.14","3,463,140,000"
17-Apr-12,"1,369.57","1,392.76","1,369.57",1390.78,"1,390.78","3,456,200,000"
16-Apr-12,"1,370.27","1,379.66","1,365.38",1369.57,"1,369.57","3,574,780,000"
13-Apr-12,"1,387.61","1,387.61","1,369.85",1370.26,"1,370.26","3,631,160,000"
12-Apr-12,"1,368.77","1,388.13","1,368.77",1387.57,"1,387.57","3,618,280,000"
11-Apr-12,"1,358.98","1,374.71","1,358.98",1368.71,"1,368.71","3,743,040,000"
10-Apr-12,"1,382.18","1,383.01","1,357.38",1358.59,"1,358.59","4,631,730,000"
9-Apr-12,"1,397.45","1,397.45","1,378.24",1382.20,"1,382.20","3,468,980,000"
5-Apr-12,"1,398.79","1,401.60","1,392.92",1398.08,"1,398.08","3,303,740,000"
4-Apr-12,"1,413.09","1,413.09","1,394.09",1398.96,"1,398.96","3,938,290,000"
3-Apr-12,"1,418.98","1,419.00","1,404.62",1413.38,"1,413.38","3,822,090,000"
2-Apr-12,"1,408.47","1,422.38","1,404.46",1419.04,"1,419.04","3,572,010,000"
30-Mar-12,"1,403.31","1,410.89","1,401.42",1408.47,"1,408.47","3,676,890,000"
29-Mar-12,"1,405.39","1,405.39","1,391.56",1403.28,"1,403.28","3,832,000,000"
28-Mar-12,"1,412.52","1,413.65","1,397.20",1405.54,"1,405.54","3,892,800,000"
27-Mar-12,"1,416.55","1,419.15","1,411.95",1412.52,"1,412.52","3,513,640,000"
26-Mar-12,"1,397.11","1,416.58","1,397.11",1416.51,"1,416.51","3,576,950,000"
23-Mar-12,"1,392.78","1,399.18","1,386.87",1397.11,"1,397.11","3,472,950,000"
22-Mar-12,"1,402.89","1,402.89","1,388.73",1392.78,"1,392.78","3,740,590,000"
21-Mar-12,"1,405.52","1,407.75","1,400.64",1402.89,"1,402.89","3,573,590,000"
20-Mar-12,"1,409.59","1,409.59","1,397.68",1405.52,"1,405.52","3,695,280,000"
19-Mar-12,"1,404.17","1,414.00","1,402.43",1409.75,"1,409.75","3,932,570,000"
16-Mar-12,"1,402.55","1,405.88","1,401.47",1404.17,"1,404.17","5,163,950,000"
15-Mar-12,"1,394.17","1,402.63","1,392.78",1402.60,"1,402.60","4,271,650,000"
14-Mar-12,"1,395.95","1,399.42","1,389.97",1394.28,"1,394.28","4,502,280,000"
13-Mar-12,"1,371.92","1,396.13","1,371.92",1395.95,"1,395.95","4,386,470,000"
12-Mar-12,"1,370.78","1,373.04","1,366.69",1371.09,"1,371.09","3,081,870,000"
9-Mar-12,"1,365.97","1,374.76","1,365.97",1370.87,"1,370.87","3,639,470,000"
8-Mar-12,"1,352.65","1,368.72","1,352.65",1365.91,"1,365.91","3,543,060,000"
7-Mar-12,"1,343.39","1,354.85","1,343.39",1352.63,"1,352.63","3,580,380,000"
6-Mar-12,"1,363.63","1,363.63","1,340.03",1343.36,"1,343.36","4,191,060,000"
5-Mar-12,"1,369.59","1,369.59","1,359.13",1364.33,"1,364.33","3,429,480,000"
2-Mar-12,"1,374.09","1,374.53","1,366.42",1369.63,"1,369.63","3,283,490,000"
1-Mar-12,"1,365.90","1,376.17","1,365.90",1374.09,"1,374.09","3,919,240,000"
29-Feb-12,"1,372.20","1,378.04","1,363.81",1365.68,"1,365.68","4,482,370,000"
28-Feb-12,"1,367.56","1,373.09","1,365.97",1372.18,"1,372.18","3,579,120,000"
27-Feb-12,"1,365.20","1,371.94","1,354.92",1367.59,"1,367.59","3,648,890,000"
24-Feb-12,"1,363.46","1,368.92","1,363.46",1365.74,"1,365.74","3,505,360,000"
23-Feb-12,"1,357.53","1,364.24","1,352.28",1363.46,"1,363.46","3,786,450,000"
22-Feb-12,"1,362.11","1,362.70","1,355.53",1357.66,"1,357.66","3,633,710,000"
21-Feb-12,"1,361.22","1,367.76","1,358.11",1362.21,"1,362.21","3,795,200,000"
17-Feb-12,"1,358.06","1,363.40","1,357.24",1361.23,"1,361.23","3,717,640,000"
16-Feb-12,"1,342.61","1,359.02","1,341.22",1358.04,"1,358.04","4,108,880,000"
15-Feb-12,"1,350.52","1,355.87","1,340.80",1343.23,"1,343.23","4,080,340,000"
14-Feb-12,"1,351.30","1,351.30","1,340.83",1350.50,"1,350.50","3,889,520,000"
13-Feb-12,"1,343.06","1,353.35","1,343.06",1351.77,"1,351.77","3,618,040,000"
10-Feb-12,"1,351.21","1,351.21","1,337.35",1342.64,"1,342.64","3,877,580,000"
9-Feb-12,"1,349.97","1,354.32","1,344.63",1351.95,"1,351.95","4,209,890,000"
8-Feb-12,"1,347.04","1,351.00","1,341.95",1349.96,"1,349.96","4,096,730,000"
7-Feb-12,"1,344.33","1,349.24","1,335.92",1347.05,"1,347.05","3,742,460,000"
6-Feb-12,"1,344.32","1,344.36","1,337.52",1344.33,"1,344.33","3,379,700,000"
3-Feb-12,"1,326.21","1,345.34","1,326.21",1344.90,"1,344.90","4,608,550,000"
2-Feb-12,"1,324.24","1,329.19","1,321.57",1325.54,"1,325.54","4,120,920,000"
1-Feb-12,"1,312.45","1,330.52","1,312.45",1324.09,"1,324.09","4,504,360,000"
31-Jan-12,"1,313.53","1,321.41","1,306.69",1312.41,"1,312.41","4,235,550,000"
30-Jan-12,"1,316.16","1,316.16","1,300.49",1313.01,"1,313.01","3,659,010,000"
27-Jan-12,"1,318.25","1,320.06","1,311.72",1316.33,"1,316.33","4,007,380,000"
26-Jan-12,"1,326.28","1,333.47","1,313.60",1318.43,"1,318.43","4,522,070,000"
25-Jan-12,"1,314.40","1,328.30","1,307.65",1326.06,"1,326.06","4,410,910,000"
24-Jan-12,"1,315.96","1,315.96","1,306.06",1314.65,"1,314.65","3,693,560,000"
23-Jan-12,"1,315.29","1,322.28","1,309.89",1316.00,"1,316.00","3,770,910,000"
20-Jan-12,"1,314.49","1,315.38","1,309.17",1315.38,"1,315.38","3,912,620,000"
19-Jan-12,"1,308.07","1,315.49","1,308.07",1314.50,"1,314.50","4,465,890,000"
18-Jan-12,"1,293.65","1,308.11","1,290.99",1308.04,"1,308.04","4,096,160,000"
17-Jan-12,"1,290.22","1,303.00","1,290.22",1293.67,"1,293.67","4,010,490,000"
13-Jan-12,"1,294.82","1,294.82","1,277.58",1289.09,"1,289.09","3,692,370,000"
12-Jan-12,"1,292.48","1,296.82","1,285.77",1295.50,"1,295.50","4,019,890,000"
11-Jan-12,"1,292.02","1,293.80","1,285.41",1292.48,"1,292.48","3,968,120,000"
10-Jan-12,"1,280.77","1,296.46","1,280.77",1292.08,"1,292.08","4,221,960,000"
9-Jan-12,"1,277.83","1,281.99","1,274.55",1280.70,"1,280.70","3,371,600,000"
6-Jan-12,"1,280.93","1,281.84","1,273.34",1277.81,"1,277.81","3,656,830,000"
5-Jan-12,"1,277.30","1,283.05","1,265.26",1281.06,"1,281.06","4,315,950,000"
4-Jan-12,"1,277.03","1,278.73","1,268.10",1277.30,"1,277.30","3,592,580,000"
3-Jan-12,"1,258.86","1,284.62","1,258.86",1277.06,"1,277.06","3,943,710,000"
30-Dec-11,"1,262.82","1,264.12","1,257.46",1257.60,"1,257.60","2,271,850,000"
29-Dec-11,"1,249.75","1,263.54","1,249.75",1263.02,"1,263.02","2,278,130,000"
28-Dec-11,"1,265.38","1,265.85","1,248.64",1249.64,"1,249.64","2,349,980,000"
27-Dec-11,"1,265.02","1,269.37","1,262.30",1265.43,"1,265.43","2,130,590,000"
23-Dec-11,"1,254.00","1,265.42","1,254.00",1265.33,"1,265.33","2,233,830,000"
22-Dec-11,"1,243.72","1,255.22","1,243.72",1254.00,"1,254.00","3,492,250,000"
21-Dec-11,"1,241.25","1,245.09","1,229.51",1243.72,"1,243.72","2,959,020,000"
20-Dec-11,"1,205.72","1,242.82","1,205.72",1241.30,"1,241.30","4,055,590,000"
19-Dec-11,"1,219.74","1,224.57","1,202.37",1205.35,"1,205.35","3,659,820,000"
16-Dec-11,"1,216.09","1,231.04","1,215.20",1219.66,"1,219.66","5,345,800,000"
15-Dec-11,"1,212.12","1,225.60","1,212.12",1215.75,"1,215.75","3,810,340,000"
14-Dec-11,"1,225.73","1,225.73","1,209.47",1211.82,"1,211.82","4,298,290,000"
13-Dec-11,"1,236.83","1,249.86","1,219.43",1225.73,"1,225.73","4,121,570,000"
12-Dec-11,"1,255.05","1,255.05","1,227.25",1236.47,"1,236.47","3,600,570,000"
9-Dec-11,"1,234.48","1,258.25","1,234.48",1255.19,"1,255.19","3,830,610,000"
8-Dec-11,"1,260.87","1,260.87","1,231.47",1234.35,"1,234.35","4,298,370,000"
7-Dec-11,"1,258.14","1,267.06","1,244.80",1261.01,"1,261.01","4,160,540,000"
6-Dec-11,"1,257.19","1,266.03","1,253.03",1258.47,"1,258.47","3,734,230,000"
5-Dec-11,"1,244.33","1,266.73","1,244.33",1257.08,"1,257.08","4,148,060,000"
